DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-14.15:21:28	181.56	2949.46	0.044165	-2.30337
2019-10-14.15:21:29	181.916	2943.13	0.0438963	-2.05793
2019-10-14.15:21:30	182.132	2937.49	0.0437185	-1.83177
2019-10-14.15:21:31	182.209	2932.59	0.0436594	-1.59288
2019-10-14.15:21:32	182.155	2928.44	0.0435611	-1.49588
2019-10-14.15:21:33	182.164	2924.16	0.0436228	-1.76782
2019-10-14.15:21:34	182.298	2919.12	0.0434865	-2.00322
2019-10-14.15:21:35	182.55	2913.36	0.0432584	-2.22774
2019-10-14.15:21:36	182.891	2906.95	0.0430942	-2.23521
2019-10-14.15:21:37	183.134	2900.82	0.0428149	-2.01068
2019-10-14.15:21:38	183.243	2895.42	0.0426967	-1.78087
2019-10-14.15:21:39	183.219	2890.76	0.0426223	-1.5451
2019-10-14.15:21:40	183.101	2886.75	0.042572	-1.61541
2019-10-14.15:21:41	183.093	2882.27	0.0425915	-1.84967
